教师行为,学生行为,相关,一级概念,一级概念
教师行为,提问同学,包括,一级概念,二级概念
教师行为,双手比划,包括,一级概念,二级概
教师行为,写板书,包括,一级概念,二级概念
教师行为,来回走动,包括,一级概念,二级概念
教师行为,授课,包括,一级概念,二级概念
教师行为,课件展示,包括,一级概念,二级概念
教师行为,引导讨论,包括,一级概念,二级概念
教师行为,巡视教室,包括,一级概念,二级概念
教师行为,观察学生,包括,一级概念,二级概念
教师行为,语言表达,包括,一级概念,三级概念
教师行为,课堂互动,包括,一级概念,三级概念
教师行为,课堂管理,包括,一级概念,三级概念
教师行为,强调纪律,包括,一级概念,三级概念
教师行为,教学设计,包括,一级概念,四级概念
教师行为,课程内容,包括,一级概念,四级概念
学生行为,认真听讲,包括,一级概念,二级概念
学生行为,看手机,包括,一级概念,二级概念
学生行为,趴桌子,包括,一级概念,二级概念
学生行为,交头接耳,包括,一级概念,二级概念
学生行为,低头,包括,一级概念,二级概念
学生行为,站立,包括,一级概念,二级概念
学生行为,举手,包括,一级概念,二级概念
学生行为,挠头,包括,一级概念,二级概念
学生行为,积极回应,包括,一级概念,三级概念
学生行为,缺少兴趣,包括,一级概念,三级概念
学生行为,无法集中,包括,一级概念,三级概念
学生行为,语气态度,包括,一级概念,四级概念
学生行为,上课姿态,包括,一级概念,四级概念
