course_index,name
1,中国建筑史（上）
2,外国工艺美术史
3,心理学概论
4,经济学原理
5,公司金融
6,创业102：你能为客户做什么？
7,e时代的教与学――MOOC引发的混合式教学
8,党的十九大精神概论
9,e时代的大佬师——慕课教师的修炼心法
10,大学物理近代物理
11,计算机科学和Python编程导论
12,自动控制理论
13,大学国文（下）
14,计算几何
15,C++语言程序设计基础
16,生活英语听说
17,日语与日本文化
18,数据结构（上）
19,操作系统
20,数据结构(下)
21,逻辑学概论
22,线性代数
23,程序设计基础
24,汇编语言程序设计
25,分布式存储与资源管理
26,大数据系统基础
27,网络技术与应用
28,计算机科学101
29,微纳加工技术
30,数字电子技术基础
31,C++语言程序设计进阶
32,葡萄酒的世界：从葡萄到美酒
33,量子力学（上）
34,金融体系概览（微慕课）
35,线性系统理论
36,小波与科学(自主模式）
37,电子信息科学与技术导引(1)
38,统计信号处理
39,MEMS与微系统
40,奇异的仿生学
41,创新材料学
42,数据结构-算法基础（微慕课）
43,计算思维和数据科学导论
44,理论力学
45,经济学
46,2014年清华大学研究生学位论文答辩（二）
47,软件工程
48,C++语言程序设计
49,有限元分析及应用
50,大数据科学与应用系列讲座
51,《周易》《周礼》与故宫北京城（微慕课）
52,流计算、内存计算与分布式机器学习平台（微慕课）
53,高级大数据系统
54,数据挖掘：理论与算法
55,Petri网：模型、理论与应用
56,Web开发技术
57,心理正能量ACE（微慕课）
58,中国房地产发展之路
59,社会心理学
60,胡鞍钢：党的十八大精神的学习辅导报告
61,全面从严治党与党的建设科学化
62,讲规矩 成方圆
63,创客培养：趣味力学实验与制作
64,智能车制作：电子技术
65,材料学概论
66,模拟电子技术应用
67,电路原理
68,高级数据库系统
69,日常思考的科学
70,西游记
71,运筹学
72,微软人工智能 – 深度学习框架和工具
73,概率论与数理统计
74,组合数学
75,组合数学与算法设计
76,清华风物
77,内部控制与风险管理
78,高山滑雪入门
79,货币金融学
80,陈旭：在“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的讲话
81,黄川：在清华大学“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的报告
82,胡鞍钢：解读十八届三中全会
83,张国祚：解读十八大报告理论热点
84,《共产党宣言》导读
85,适老居住空间与环境设计
86,居住地产（微慕课）
87,高等化工热力学（上）
88,有机化学
89,化工单元过程与操作
90,宝玉石概论
91,中医养生方法学
92,摄影构图（微慕课）
93,信息素养-学术研究的必修课
94,教＆学微辞典
95,人体的运动与损伤人体的运动功能(微慕课)
96,实现祖国完全统一的理论（微慕课）
97,学会学：学习之道
98,计算机操作系统
99,基于Linux的C++
100,导弹总体设计导论
101,金融衍生品
102,投资学
103,巅峰对话：分布式计算
104,大学国文（上）
105,绿色建筑与可持续发展
106,经典与思考——人文清华大师面对面
107,清代建筑概说（微慕课）
108,财务管理
109,高职实用综合英语
110,LabVIEW 基础课程
111,测试与检测技术基础
112,控制工程基础
113,数字集成电路分析与设计
114,西方哲学精神探源
115,自动控制元件
116,科学计算与MATLAB语言
117,教育社会学
118,现代生物学导论
119,对外汉语
120,电工技术
121,数字信号分析理论与实践
122,微积分B(1)
123,工程制图
124,通信原理
125,卡通说解数字电子技术
126,数字电子技术
127,歌唱启蒙与表演教你成为歌唱达人
128,电子商务
129,数据结构
130,微积分B(2)
131,Linux系统管理
132,VC++面向对象与可视化程序设计（上）：Windows编程基础
133,Office办公软件应用
134,宏观经济形势分析供给侧改革
135,马克思专题讲座
136,越王勾践剑与吴越地区的冶铸技术（微慕课）
137,VC++面向对象与可视化程序设计（下）：MFC编程基础
138,JAVA程序设计
139,清华院系概览
140,公共危机管理
141,《资治通鉴》导读
142,研究生学术与职业素养讲座
143,2015年清华大学研究生学位论文答辩（二）
144,高山滑雪
145,微软--计算机视觉论文分享课
146,2016年清华大学研究生学位论文答辩（一）
147,基于R语言的社会统计分析
148,法学高级入门
149,面向对象程序设计（C++）
150,光学
151,弟子规
152,青少年创客与全球名校申请
153,英美音乐与文化
154,生活中的市场营销学
155,金融工程
156,国际贸易学
157,经济地理与企业兴衰
158,互联网金融
159,图说人际关系心理
160,国际名酒知识与品鉴
161,科学写作
162,数字图片后期(微慕课)
163,水处理工程-生化技术
164,环境生态学
165,AP备考环境科学第一部分
166,电工电子学（下）
167,信号与系统分析
168,微机原理与接口技术
169,计算机网络
170,大数据平台核心技术
171,中国古代礼义文明（上）
172,应用信息论基础
173,生活英语读写
174,工程应用数学基础
175,人工智能
176,大学计算机教程
177,数学实验
178,智能车制作：嵌入式系统
179,计算机程序设计基础
180,吴参谋消防大讲堂
181,十面霾伏空气污染与肺疾患(微慕课)
182,日语——自游自在日本行
183,古典文学的城市书写
184,明朝心学的智慧发展史：王阳明带你打土匪
185,国学入门
186,高等数学
187,大气污染控制工程
188,美国政治概论
189,职业探索与选择
190,国际金融
191,Financial Risk Management
192,运营概论（微慕课）
193,项目管理导论(微慕课)
194,大学应该怎么学？（微慕课）
195,什么是经济学(微慕课)
196,花之道（微慕课）
197,期货市场的运作机制(微慕课)
198,李清照词鉴赏(微慕课)
199,插花造型（微慕课）
200,隋唐建筑概说（微慕课）
201,工程伦理
202,图案色调(微慕课)
203,美是旺盛的生命力（微慕课）
204,水处理工程-物化技术
205,2017第四届全国虚拟仪器大赛赛前培训
206,古希腊爱情观探源（微慕课）
207,光电仪器设计
208,水力学
209,模拟电子技术基础
210,电路分析基础
211,合肥学院_电路原理
212,沈阳工业大学_电路原理
213,攀枝花学院_电路原理
214,新疆农业大学_电路分析基础
215,思想道德修养和法律基础
216,生活、艺术与时尚：中国服饰七千年
217,地下水文学（水文学原理及应用（2））
218,集成传感器
219,图案审美与创作
220,现代生活美学
221,源远流长的中国教育传统（微慕课）
222,大学历史与文化
223,混合式学习
224,商务礼仪
225,危机决策与领导力（微慕课）
226,组织行为学——如何有效管理员工行为
227,金融分析方法
228,音乐与健康
229,教学的奥妙
230,大学物理1 (力学、热学)
231,中国近现代史纲要
232,我国周边14个陆地邻国基本情况介绍
233,软件设计模式
234,软件工程与软件自动化
235,创业启程
236,力学
237,审美的历程
238,线性代数-N维向量（微慕课）
239,创办新企业
240,走进医学
241,数据库系统（上）：模型与语言(自主模式)
242,数据库系统（下）：管理与技术(自主模式)
243,《论语》人生课堂
244,工程材料
245,英美概况地理语言篇
246,英语语音
247,钢琴弹奏基础
248,西班牙语初级
249,英语语法和写作风格
250,英语畅谈中国
251,初级汉语口语
252,生活英语进阶
253,主题英语
254,会计学原理
255,传播学原理
256,成人礼（微慕课）
257,机械设计
258,《论语》的智慧
259,量子力学（下）
260,核辐射物理及探测学
261,刑事审判心理学
262,数字时代的医学
263,危机谈判（微慕课）
264,结构力学
265,汽车造型设计二维表达
266,中国建筑史（下）
267,互联网大规模数据分析技术
268,网络安全概述
269,计算机网络导论
270,如何写好科研论文
271,信号与线性系统
272,数据结构-向量（微慕课）
273,热带海岸线生态系统
274,项目管理
275,中医说什么（微慕课）
276,PLC应用技术
277,婚恋·职场·人格
278,知识产权法
279,CATTI翻译资格水平考试笔译备考基础课
280,大唐兴衰
281,抗美援朝战争简介（微慕课）
282,足球战术（微慕课）
283,C程序设计基础
284,心性之学与大学之道（微慕课）
285,长恨歌（微慕课）
286,止于至善（微慕课）
287,花材与插花配色（微慕课）
288,项目管理概论
289,歌唱达人练习法（微慕课）
290,名人的音乐处方单（微慕课）
291,网络、群体与市场
292,住宅精细化设计
293,微软亚洲研究院大数据系列讲座
294,AWS云基础及产品课程（进阶课程）
295,中国多民族建筑（微慕课）
296,摄影曝光（微慕课）
297,管理会计学
298,出口业务操作
299,日语初级
300,园林植物景观学原理与方法
301,运营管理
302,Learn Mandarin Chinese: Start Talking with 1.3 Billion People
303,大学化学Ⅰ
304,初识计算机网络（微慕课）
305,汽车发动机原理
306,电路与电工实验
307,环境工程CAD
308,跨境电商实务
309,中国茶道
310,暖通空调
311,20世纪西方音乐
312,元明城市与建筑（微慕课）
313,汽车碰撞安全基础
314,汽车理论
315,AWS University AWSome Day（认证课程）
316,慕课问道
317,走近冬奥会
318,中医与诊断-学做自己的医生
319,冰壶
320,时尚化妆造型
321,自我塑造：成功五要素
322,中国哲学经典著作导读
323,跟我学如何挑选服装
324,风景园林规划设计
325,不朽的艺术：走进大师与经典
326,会计信息系统
327,电气控制系统装接与调试
328,太阳能
329,大学物理电磁学
330,C君带你玩编程
331,有机结构波谱分析
332,分析化学
333,生产计划与控制
334,金融工程概述（微慕课）
335,系统化产品设计与开发
336,光学工程基础
337,艺术心理学
338,社会创新与创业
339,新闻摄影
340,应对气候变化的中国视角
341,大学美育
342,英美概况
343,信息隐藏技术
344,地质学与工程地质
345,项目成本管理
346,我军自卫作战战例研究（微慕课）
347,嵌入式系统设计
348,C程序设计进阶
349,饮食养生（微慕课）
350,网页创意与艺术设计
351,华文教育技术与实践
352,通用学术英语（先修课）
353,聘礼（微慕课）
354,IC设计与方法
355,2017年清华大学研究生学位论文答辩（二）
356,计算思维导论
357,辛弃疾词鉴赏(微慕课)
358,大学物理2 (电磁学、光学和量子物理)
359,文化心理学（微慕课）
360,无机与分析化学
361,最正宗的儒家婚礼是怎样的（微慕课）
362,足球运动的规则
363,危机管理要义（微慕课）
364,危机沟通与新媒体（微慕课）
365,明清古典园林（微慕课）
366,传统社会的婚姻家庭
367,运动与健康
368,形势与政策
369,运动与解剖学
370,足球裁判法
371,现代汉语言语交际
372,马克思主义基本原理
373,环境地学原理
374,黄金几分钟急诊（心肺复苏）、灾难医学(微慕课)
375,走进性科学
376,科举与唐诗
377,排球
378,半导体元件物理
379,唐宋词鉴赏
380,微观经济学原理（先修课）
381,流体机械基础
382,燃烧理论
383,ARM微控制器与嵌入式系统
384,人文视野中的生态学
385,大学计算机——计算思维的视角
386,医学寄生虫学
387,设计的人因与文化
388,科学传播公开课
389,生物医学成像学导论
390,北京的文学写作与记忆（微慕课）
391,中国古代的经络学说（微慕课）
392,药膳养生（微慕课）
393,南唐后主李煜词鉴赏(微慕课)
394,孝亲之礼（微慕课）
395,上有天堂下有苏杭（微慕课）
396,家训（微慕课）
397,车臣战争简介（微慕课）
398,越南抗美抗法战争简介（微慕课）
399,运动也能养生（微慕课）
400,中东战争（微慕课）
401,伊拉克战争简介（微慕课）
402,海湾战争简介（微慕课）
403,阿富汗战争简介（微慕课）
404,冰壶入门（微慕课）
405,基础乐理（微慕课）
406,希腊哲学概览（微慕课）
407,认识照相机(微慕课)
408,陆游词鉴赏(微慕课)
409,公共管理学
410,航天器轨道力学
411,水分析化学
412,足球技术（微慕课）
413,自然灾害
414,大学物理-相对论和量子物理
415,现代管理学
416,音乐健康说（微慕课）
417,中西音乐养生与治疗（微慕课）
418,楚汉之争（微慕课）
419,吕不韦奇货可居（微慕课）
420,贞观之治（微慕课）
421,宫商角徵羽（微慕课）
422,罄竹难书隋炀帝
423,汉武大帝：霸王道杂之（微慕课）
424,王莽篡汉（微慕课）
425,药物化学
426,软件测试
427,货币及对外贸易政策
428,介质辐射传热
429,微观化学世界
430,大学物理力学与热学
431,中原文化（武术篇）
432,精确制导器术道
433,携手向花间——昆曲经典剧目欣赏
434,原来姹紫嫣红开遍——昆曲艺术欣赏
435,毛泽东思想和中国特色社会主义理论体系概论
436,西方思想经典与现代社会
437,华文教学的理念与方法
438,医的奥秘
439,现代物流与供应链管理
440,理论?制度?道路中国特色社会主义理论与实践研究
441,大学计算机基础
442,文物精品与文化中国
443,项目采购与合同管理
444,大学葡萄牙语
445,数据库系统（中）：建模与设计(自主模式)
446,工程经济学
447,微电子工艺
448,国际结算操作
449,外贸单证操作
450,高等反应工程
451,广播电视广告（理论）
452,循环经济与可持续发展型企业
453,运动训练学
454,口腔探密
455,食物营养与食品安全
456,职业与创业胜任力
457,船舶在波浪中运动的势流理论
458,人机工程学
459,《道德经》的智慧启示
460,探秘身边的材料材料与社会
461,细胞神经科学
462,大学生心理健康
463,无处不在传染病
464,人体解剖学
465,经典导读与欣赏
466,纺织技术管理
467,计算神经科学
468,生死学
469,高等流体力学
470,外贸跟单实务
471,电子政务
472,医学伦理学
473,互换性与测量技术基础
474,医学免疫学
475,物理与人类未来
476,不负卿春——大学生职业生涯规划
477,创新土地再开发：土地整备（自主模式）
478,设计思维
479,寄生虫与公共卫生
480,道路交通环境保护
481,艺术的启示
482,足球运动与科学
483,中国石油文化
484,技术创新简史
