stu_id,course_index
0,1
0,2
0,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,4
2,11
3,1
3,12
3,4
3,10
4,13
4,3
5,1
5,8
5,6
5,4
6,3
7,3
8,4
8,14
8,15
9,3
9,13
10,16
10,17
10,3
10,13
11,18
11,1
11,19
11,6
11,5
11,20
11,21
11,22
11,23
12,1
13,3
13,5
13,4
13,24
13,18
14,21
14,25
15,4
15,13
15,3
16,18
17,21
18,1
19,26
19,16
19,5
19,27
20,28
21,3
21,13
21,4
21,27
21,21
22,13
22,27
22,16
22,4
22,29
23,15
23,12
23,1
23,21
24,15
25,11
25,30
25,4
26,16
26,4
26,21
26,1
26,31
26,32
27,33
28,4
28,34
28,35
29,5
29,20
29,11
30,3
30,10
30,36
31,1
32,27
32,37
32,24
32,4
32,8
33,27
33,32
34,4
35,1
35,21
36,21
37,32
37,38
37,39
38,40
38,20
38,1
39,1
39,21
40,1
41,41
41,27
41,1
41,42
41,21
42,43
42,32
42,34
42,11
42,23
43,16
43,19
43,27
44,17
44,44
44,10
45,4
46,24
46,18
46,30
46,5
47,16
47,5
48,3
48,13
48,35
48,14
49,12
50,35
50,21
51,24
51,12
51,45
51,46
52,3
52,13
52,27
53,18
53,1
54,47
54,48
54,4
55,4
56,1
56,21
56,18
57,15
58,5
58,26
59,3
59,13
59,35
59,40
59,24
59,10
59,1
59,5
59,16
59,12
59,4
59,20
59,30
59,6
59,39
59,49
60,18
60,1
60,3
60,5
60,50
60,11
60,8
60,4
61,1
61,18
62,6
62,4
62,14
62,3
62,51
62,37
62,7
62,13
62,27
62,30
62,2
63,35
63,1
63,33
64,16
65,35
65,45
65,16
66,18
66,4
67,27
67,1
67,42
68,3
69,24
70,27
70,5
70,47
70,11
71,52
71,3
71,1
72,11
72,26
72,5
73,46
73,11
73,5
74,21
75,53
75,4
76,23
76,54
76,21
76,16
76,18
76,4
76,55
77,4
77,6
77,1
77,2
78,35
78,3
78,4
78,32
79,35
80,1
81,42
82,18
82,53
83,56
84,3
85,1
85,15
86,21
86,4
86,15
87,1
88,4
88,1
88,57
89,37
89,5
90,5
90,33
91,4
91,21
91,20
91,10
91,47
91,1
91,15
91,7
91,3
91,37
92,51
92,4
92,5
92,52
92,1
93,1
94,58
95,32
96,4
96,5
96,6
97,1
97,4
97,6
98,11
98,32
99,35
99,4
99,1
100,3
100,13
100,7
101,5
102,9
102,4
102,37
103,1
104,8
105,12
105,1
105,3
105,13
105,15
106,1
107,4
107,6
107,32
107,34
107,13
107,59
108,32
108,27
108,5
108,52
108,4
108,35
108,31
108,38
108,60
108,8
108,1
108,7
108,50
108,14
109,35
110,7
110,56
110,14
110,23
110,46
110,58
110,8
110,21
110,11
110,3
110,61
110,30
111,3
111,4
111,25
112,1
112,7
112,5
113,4
113,52
114,11
115,1
115,4
115,6
116,32
116,27
116,52
117,1
118,27
118,1
119,50
119,62
119,12
119,4
119,2
120,6
120,1
121,35
122,40
122,1
123,23
123,49
123,4
124,43
124,11
124,35
124,16
124,33
125,11
125,30
125,23
125,4
126,18
126,40
127,7
127,4
128,32
128,1
128,18
129,18
129,5
130,5
130,35
130,43
130,63
131,33
132,4
132,32
132,34
132,1
133,11
133,24
134,4
134,60
134,21
135,5
135,14
135,4
135,6
135,19
135,1
135,12
135,8
135,15
135,26
135,23
136,31
137,12
137,18
137,5
137,64
137,40
137,54
137,11
137,43
137,56
137,19
137,9
137,1
137,35
137,14
137,50
137,59
137,16
137,21
137,20
137,24
137,53
137,3
137,10
137,26
137,65
137,8
137,52
137,7
137,31
137,62
137,23
137,33
137,42
137,66
137,2
137,67
137,45
137,41
137,38
137,32
137,39
137,57
137,55
137,61
137,68
137,69
138,3
138,1
139,5
139,16
140,5
140,21
141,1
142,3
142,13
143,35
143,4
144,15
145,1
145,12
145,7
145,58
145,27
145,3
146,1
147,15
147,18
147,32
147,34
147,41
148,3
148,4
148,13
148,15
148,32
148,6
148,1
149,15
149,21
150,11
150,32
151,16
151,46
151,45
151,1
151,41
152,1
152,42
153,1
154,26
154,1
154,5
154,65
154,45
155,15
155,12
155,30
155,31
155,5
155,36
155,4
155,3
155,26
155,55
156,5
156,4
156,11
156,6
157,1
157,35
157,23
158,3
158,35
159,12
159,21
159,4
159,41
159,18
159,39
160,26
160,5
160,20
160,11
160,24
160,27
160,8
160,39
160,4
160,14
160,10
160,18
160,12
161,12
161,16
161,42
161,4
161,39
162,35
162,4
162,30
162,6
163,1
163,15
163,8
163,21
164,35
164,16
164,11
164,21
164,42
164,4
164,2
164,6
164,24
165,4
165,40
165,10
166,4
166,27
166,15
166,21
166,37
166,65
166,16
167,3
167,15
167,21
167,49
168,70
169,11
169,9
169,18
169,56
169,24
169,33
169,57
170,58
170,33
170,41
171,32
171,34
171,3
171,13
171,6
171,16
171,18
171,26
171,37
171,4
172,43
172,33
173,5
174,50
174,2
175,35
175,11
175,33
175,56
176,21
176,1
176,49
177,1
177,35
177,3
177,40
177,27
177,36
177,4
177,11
177,32
177,41
177,5
178,8
178,15
178,1
178,60
179,4
179,6
179,48
179,45
180,26
180,4
180,5
181,4
181,16
181,5
181,11
181,26
181,52
181,6
181,3
181,21
181,8
181,40
181,68
181,35
182,5
182,1
182,4
182,23
182,16
183,1
184,1
184,4
184,52
185,12
185,15
185,21
186,15
186,12
186,16
186,1
186,3
186,11
186,26
186,5
186,21
186,4
186,6
186,37
187,14
187,37
187,6
187,2
188,6
188,5
188,3
188,35
189,1
189,21
189,47
190,5
190,21
190,4
190,8
190,45
190,30
191,21
192,4
192,43
192,23
192,35
192,16
192,31
192,47
192,27
192,37
192,3
193,1
193,21
193,42
194,18
195,3
195,13
195,4
196,11
197,35
197,24
197,5
197,50
197,31
197,46
197,71
197,72
197,68
198,33
198,12
199,27
199,4
199,33
200,54
200,3
200,35
200,21
201,32
201,4
201,34
201,3
201,15
201,37
201,27
201,11
201,42
201,47
202,52
202,8
203,43
204,32
204,34
205,12
206,5
206,10
206,18
206,57
206,55
206,1
206,35
207,4
208,4
208,5
208,31
208,1
208,8
209,1
209,3
209,35
209,21
210,1
210,27
210,35
210,5
210,6
210,24
210,42
210,73
211,1
211,16
212,35
212,52
212,40
213,12
214,4
215,18
216,18
217,5
217,8
217,32
217,34
218,41
219,12
219,52
220,40
220,11
221,35
221,16
221,36
221,37
221,7
221,21
221,13
221,3
221,2
222,60
222,62
222,58
222,4
223,53
224,43
224,1
224,52
224,8
225,12
225,1
225,15
225,27
225,4
226,6
226,4
227,35
228,32
228,34
228,5
228,74
229,53
229,37
229,32
230,18
230,16
230,35
231,1
231,75
231,21
231,36
231,5
231,57
232,35
232,26
232,23
232,10
232,18
233,27
233,43
233,1
233,5
234,4
234,1
235,15
235,6
235,11
235,5
235,21
235,57
236,58
237,1
237,50
237,12
237,15
238,21
239,3
239,27
239,24
240,11
240,35
240,16
240,40
240,7
240,31
240,9
241,8
241,2
241,5
242,24
242,54
242,1
242,15
